"model","year","age_group","education","n_observations","mse","rmse"
"Model C",2017,"20-24","No Formal Education",1,3.03631253938327e-08,0.000174250180470015
"Model C",2017,"20-24","Post Secondary",1,4.983752696755e-10,2.23243201391554e-05
"Model C",2017,"20-24","Primary",1,1.82945246138197e-07,0.000427720990995528
"Model C",2017,"20-24","Secondary",1,6.06697597466377e-09,7.789079518572e-05
"Model C",2017,"25-29","No Formal Education",1,1.97263308014386e-06,0.00140450456750552
"Model C",2017,"25-29","Post Secondary",1,1.6794128490201e-10,1.29592162148029e-05
"Model C",2017,"25-29","Primary",1,1.076955918059e-06,0.00103776486646012
"Model C",2017,"25-29","Secondary",1,1.8635036382651e-07,0.000431683175287745
"Model C",2017,"30-34","No Formal Education",1,8.31027579127122e-09,9.1160714078331e-05
"Model C",2017,"30-34","Post Secondary",1,1.75698271911778e-06,0.00132551224781885
"Model C",2017,"30-34","Primary",1,3.40509458568246e-06,0.0018452898378527
"Model C",2017,"30-34","Secondary",1,3.68253478900949e-07,0.000606838923356889
"Model C",2017,"35-39","No Formal Education",1,7.48388087443024e-06,0.00273566826834509
"Model C",2017,"35-39","Post Secondary",1,0.000192929531064689,0.0138899075254189
"Model C",2017,"35-39","Primary",1,0.000179659183325308,0.0134037003594272
"Model C",2017,"35-39","Secondary",1,0.000207991460271874,0.0144219090370129
"Model C",2017,"40-44","No Formal Education",1,0.0553002910526239,0.235160139166109
"Model C",2017,"40-44","Post Secondary",1,3.26299448927732e-07,0.000571226267715108
"Model C",2017,"40-44","Primary",1,0.00548380425162785,0.0740527126554311
"Model C",2017,"40-44","Secondary",1,0.0054903503065155,0.0740968980897008
"Model C",2018,"15-19","No Formal Education",1,3.20860693047568e-09,5.66445666456694e-05
"Model C",2018,"15-19","Post Secondary",1,6.5018244224143e-10,2.5498675303659e-05
"Model C",2018,"15-19","Primary",1,1.0863447185393e-08,0.000104227861847939
"Model C",2018,"15-19","Secondary",1,2.29460865981608e-08,0.000151479657374054
"Model C",2018,"20-24","No Formal Education",1,1.42397257841975e-07,0.000377355611912655
"Model C",2018,"20-24","Post Secondary",1,2.0536361999786e-08,0.000143305135985372
"Model C",2018,"20-24","Primary",1,1.69341377655503e-06,0.00130131232859565
